2015/10/19 22:20:07 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/10/19 22:20:07 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/10/19 22:20:08 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/10/19 22:20:08 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/10/19 22:20:08 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2015/10/19 22:20:08 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = x-K55VD 
2015/10/19 22:20:08 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 1 
2015/10/19 22:20:08 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2015/10/19 22:20:08 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2015/10/19 22:20:08 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2015/10/19 22:20:08 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2015/10/19 22:20:08 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/10/19 22:20:08 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
